actor,idol,singer,entertainer,idol_solo
이시영,방탄소년단,거미,유재석,방탄소년단 RM
소이현,엑소,백아연,박나래,방탄소년단 진
신소율,블랙핑크,백예린,백종원,방탄소년단 슈가
임수향,트와이스,볼빨간사춘기,박명수,방탄소년단 제이홉
임창정,레드벨벳,소향,정준하,방탄소년단 지민
박성웅,워너원,손승연,강호동,방탄소년단 뷔
김옥빈,NCT,아이유,이광수,방탄소년단 정국
한채영,에이핑크,에일리,김종국,엑소 수호
유준상,마마무,백지영,이영자,엑소 찬열
이하늬,비투비,윤하,김숙,엑소 카이
이시언,위너,이하이,장성규,엑소 디오
고준희,몬스타엑스,이소라,박준형,엑소 백현
송중기,오마이걸,박효신,김민아,엑소 세훈
송혜교,아이즈원,임창정,보겸,엑소 시우민
윤세아,러블리즈,임재범,,엑소 첸
엄정화,(여자)아이들,박완규,,엑소 레이
이상엽,뉴이스트,홍진영,,블랙핑크 지수
이다희,아스트로,하현우,,블랙핑크 제니
정혜성,투모로우바이투게더,장범준,,블랙핑크 로제
안소희,갓세븐,폴킴,,블랙핑크 리사
송지효,ITZY,윤종신,,트와이스 나연
조보아,드림캐쳐,임영웅,,트와이스 정연
강동원,스트레이키즈,영탁,,트와이스 모모
이성민,에버글로우,,,트와이스 사나
윤제문,,,,트와이스 지효
수애,,,,트와이스 미나
윤균상,,,,트와이스 다현
라미란,,,,트와이스 채영
김서형,,,,트와이스 쯔위
오나라,,,,레드벨벳 웬디
최수종,,,,레드벨벳 아이린
조정석,,,,레드벨벳 슬기
이제훈,,,,레드벨벳 조이
권상우,,,,레드벨벳 예리
김성균,,,,
강소라,,,,
안재홍,,,,
김성오,,,,
전여빈,,,,
김성령,,,,
박신혜,,,,
곽도원,,,,
김대명,,,,
안보현,,,,
박서준,,,,
김다미,,,,
권나라,,,,
유재명,,,,
