celeb,title,article_type,year,month,date,time,total,like,warm,sad,angry,want,cheer,congrats,expect,surprise,fan,url
유재석,"[공식] '놀면 뭐하니' 유재석X이효리X비, 7월 18일 데뷔 확정…그룹명 공모",연예,2020,6,2,17:37,59,51,0,0,0,0,6,0,0,2,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=076&aid=0003577646
유재석,‘1일N깡’ 비·이효리·유재석 뭉치니 '놀면 뭐하니' OTT시청률도↑,생활,2020,6,2,9:16,33,19,5,1,5,3,0,0,0,0,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=014&aid=0004435407
유재석,요요미 “유산슬(유재석) ‘아침마당’서 첫 만남…많은 걸 배웠다”(미스터라디오),연예,2020,6,2,17:24,3,3,0,0,0,0,0,0,0,0,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=410&aid=0000699579
유재석,이효리·비·유재석의 나비효과 '혼성그룹' 부활하나?,연예,2020,6,2,16:09,42,38,0,0,0,0,0,0,3,1,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=003&aid=0009894056
유재석,"김호중, 유재석·조세호 만났다…'유 퀴즈 온 더 블럭' 출연 예고",연예,2020,6,1,16:33,5237,5185,0,16,0,0,23,5,4,4,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=018&aid=0004653959
유재석,"이효리·비·유재석+α 역대급 혼성 그룹, 방송·가요 장악할 컬래버레이션",연예,2020,6,1,8:02,351,304,0,6,0,0,20,0,7,14,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=241&aid=0003027247
유재석,놀면 뭐하니 `유재석 혼성그룹` 출격,연예,2020,5,29,9:46,105,84,0,3,0,0,12,0,3,3,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=029&aid=0002601103
유재석,"이효리, 비·유재석에 ""부부 동반 최초 패밀리 혼성그룹"" 파격 제안",연예,2020,5,29,18:05,4269,3792,0,62,0,0,156,6,113,140,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=052&aid=0001446148
유재석,유재석·이효리·비가 합작한 추억여행 '대박',연예,2020,5,31,9:27,59,46,0,1,0,0,9,0,1,2,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=079&aid=0003366179
블랙핑크,"블랙핑크 리사, 전 매니저에게 10억 원 사기…YG ""퇴사 상태"" [전문]",연예,2020,6,2,11:32,323,8,0,177,0,0,2,5,1,130,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=015&aid=0004352261
블랙핑크,"블랙핑크 리사, 前 매니저에 10억 원대 사기 피해",연예,2020,6,2,10:56,76,0,0,50,0,0,0,0,0,26,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=410&aid=0000699478
블랙핑크,"블랙핑크 리사, 前 매니저에 억대 사기 피해",,2020,6,2,24:19,241,4,3,33,197,4,0,0,0,0,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=366&aid=0000532197
블랙핑크,"블랙핑크, 로제·리사·지수順…솔로곡 발표",연예,2020,6,1,10:11,238,193,0,5,0,0,21,3,9,7,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=021&aid=0002429871
블랙핑크,"블랙핑크 리사, 前매니저에 10억 사기..YG ""책임 통감""[전문]",연예,2020,6,2,11:31,114,2,0,44,0,0,0,1,0,67,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=108&aid=0002867505
블랙핑크,"블랙핑크 솔로 프로젝트 가동 ""9월 첫 정규앨범 발표 이후""",연예,2020,6,1,9:40,75,60,0,0,0,0,9,0,3,3,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=241&aid=0003027271
블랙핑크,"""블랙핑크 리사, 전 매니저에게 10억원대 사기당했다""",연예,2020,6,2,8:02,122,97,0,6,0,0,12,0,1,6,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=241&aid=0003027525
블랙핑크,"[핫이슈클릭] 연예가화제, 블랙핑크·레이디 가가 협업곡 57개국 1위",,2020,6,1,8:28,109,100,6,0,2,1,0,0,0,0,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=366&aid=0000531135
아이유,‘저작권만 400곡’ 김이나 “아이유 ‘좋은 날’은 묘비 새기고파”,연예,2020,6,2,17:28,37,29,0,0,0,0,5,0,0,3,0,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=005&aid=0001327690
